Establishment,Permit Holder,Telephone,Establishment Permit #,Establishment Address Street #,Establishment Address Street Name,Establishment Address Unit #,Establishment Address City,Establishment Address State,Establishment Address Zip Code,Mailing Address Street #,Mailing Address Street Name,Mailing Address Unit #,Mailing Address City,Mailing Address State,Mailing Address Zip Code,Mailing Care Of,PO BOX,Facility Permit #,Business Status,Facility Type,Risk Category,1st Inspection,TMKZone,TMKSection,TMKPlat,TMKParcel,Permit Expire Date
NOELANI ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)988-1858,100,"WOODLAWN DRIVE
HONOLULU, HAWAII 96822
(21.30718330212897, -157.81032287478018)",WOODLAWN DRIVE ,   ,HONOLULU,HAWAII,96822,"WOODLAWN DRIVE
HONOLULU, HAWAII 96822
(21.30718330212897, -157.81032287478018)",WOODLAWN DRIVE ,   ,HONOLULU,HAWAII,96822,,,100,Open,137 New and Renewal 1,Category 1,05/11/2011 12:00:00 AM,2,9,23,23,05/25/2013 12:00:00 AM
MANOA ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)988-1866,102,"MANOA ROAD
HONOLULU, HAWAII 96822
(21.306465755996015, -157.82423721961982)",MANOA ROAD ,   ,HONOLULU,HAWAII,96822,"MANOA ROAD
HONOLULU, HAWAII 96822
(21.306465755996015, -157.82423721961982)",MANOA ROAD ,   ,HONOLULU,HAWAII,96822, FOOD SERVICE MANAGER,,102,Open,137 New and Renewal 1,Category 1,05/04/2011 12:00:00 AM,2,9,36,5,05/12/2013 12:00:00 AM
KAWANANAKOA MIDDLE SCHOOL,DEPARTMENT OF EDUCATION,(808)587-4430,103,"FUNCHAL STREET
HONOLULU, HAWAII 96813
(21.320201650501133, -157.85107129573285)",FUNCHAL STREET ,   ,HONOLULU,HAWAII,96813,"FUNCHAL STREET
HONOLULU, HAWAII 96813
(21.320201650501133, -157.85107129573285)",FUNCHAL STREET ,   ,HONOLULU,HAWAII,96813,,,103,Open,137 New and Renewal 2,Category 2,05/19/2011 12:00:00 AM,2,2,9,11,05/11/2013 12:00:00 AM
ALA WAI ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)973-0074,104,"KAMOKU STREET
HONOLULU, HAWAII 96826
(21.285016307862122, -157.8262785083964)",KAMOKU STREET ,   ,HONOLULU,HAWAII,96826,"KAMOKU STREET
HONOLULU, HAWAII 96826
(21.285016307862122, -157.8262785083964)",KAMOKU STREET ,   ,HONOLULU,HAWAII,96826,,,104,Open,137 New and Renewal 1,Category 1,04/13/2011 12:00:00 AM,2,7,36,7,05/03/2013 12:00:00 AM
LAIE ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)293-8929,106,"KULANUI STREET
LAIE, HAWAII 96762
(21.64424439124009, -157.92491497039262)",KULANUI STREET ,   ,LAIE,HAWAII,96762,"KAMEHAMEHA HIGHWAY
HAUULA, HAWAII 96717
(21.57768472780256, -157.89125485644183)",KAMEHAMEHA HIGHWAY ,   ,HAUULA,HAWAII,96717,HAUULA ELEMENTARY SCHOOL,,106,Open,137 New and Renewal 3,Category 3,06/20/2011 12:00:00 AM,5,5,15,23,05/12/2013 12:00:00 AM
KAHALUU ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)239-3106,107,"WAIHEE ROAD
KANEOHE, HAWAII 96744
(21.459773492429015, -157.84121605715603)",WAIHEE ROAD ,   ,KANEOHE,HAWAII,96744,"WAIHEE ROAD
KANEOHE, HAWAII 96744
(21.459773492429015, -157.84121605715603)",WAIHEE ROAD ,   ,KANEOHE,HAWAII,96744,,,107,Open,137 New and Renewal 1,Category 1,05/31/2011 12:00:00 AM,4,7,12,24,05/10/2013 12:00:00 AM
KAHALA ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)733-4670,108,"KILAUEA AVENUE
HONOLULU, HAWAII 96816
(21.26842443415663, -157.7915108909736)",KILAUEA AVENUE ,   ,HONOLULU,HAWAII,96816,"KILAUEA AVENUE
HONOLULU, HAWAII 96816
(21.26842443415663, -157.7915108909736)",KILAUEA AVENUE ,   ,HONOLULU,HAWAII,96816,,,108,Open,137 New and Renewal 1,Category 1,01/18/2011 12:00:00 AM,3,5,11,27,12/23/2012 12:00:00 AM
FERN ELEMENTARY SCHOOL CAFETERIA,DEPARTMENT OF EDUCATION,(808)832-3047,109,"MIDDLE STREET
HONOLULU, HAWAII 96819
(21.337888685779333, -157.88363708581267)",MIDDLE STREET ,   ,HONOLULU,HAWAII,96819,"MIDDLE STREET
HONOLULU, HAWAII 96819
(21.337888685779333, -157.88363708581267)",MIDDLE STREET ,   ,HONOLULU,HAWAII,96819,,,109,Open,137 New and Renewal 1,Category 1,05/11/2011 12:00:00 AM,1,3,1,58,05/25/2013 12:00:00 AM
KALIHI UKA ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)832-3310,110,"KALIHI STREET
HONOLULU, HAWAII 96819
(21.35658047607876, -157.8542161194665)",KALIHI STREET ,   ,HONOLULU,HAWAII,96819,"KALIHI STREET
HONOLULU, HAWAII 96819
(21.35658047607876, -157.8542161194665)",KALIHI STREET ,   ,HONOLULU,HAWAII,96819,  LAURA AHN,,110,Open,137 New and Renewal 1,Category 1,05/02/2011 12:00:00 AM,1,3,36,15,05/10/2013 12:00:00 AM
CENTRAL MIDDLE SCHOOL,DEPARTMENT OF EDUCATION,(808)587-4400,111,"QUEEN EMMA STREET
HONOLULU, HAWAII 96813
(21.31150645597026, -157.85551563979888)",QUEEN EMMA STREET,   ,HONOLULU,HAWAII,96813,"QUEEN EMMA STREET
HONOLULU, HAWAII 96813
(21.31150645597026, -157.85551563979888)",QUEEN EMMA STREET,   ,HONOLULU,HAWAII,96813,,,111,Open,137 New and Renewal 1,Category 1,04/13/2011 12:00:00 AM,2,1,9,1,05/03/2013 12:00:00 AM
