Agency,Commodity,Supplier,Ordered Date,PO_#,PO Amount,OBJECTID
EQUIPMENT LEASE - CAPITAL,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",23-Oct-14,PO508160,29932.8,1
METROPOLITAN POLICE DEPARTMENT,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO505678-V2,134608.35,2
METROPOLITAN POLICE DEPARTMENT,9625800:Professional Services (Not Otherwise Classified),ABC TOWING INC,1-Oct-14,PO505398,37500,3
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,Kramer Consulting Services PC,28-Jan-15,PO514707,175000,4
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","TEAM TECHNOLOGY, INC",15-Oct-14,PO483678-V2,6500,5
OFFICE OF THE CHIEF FINANCIAL OFFICER,"6003850:COPIERS, COLOR, NEW",SHARP ELECTRONICS CORPORATION,28-Oct-14,PO498255-V4,3460,6
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","MVS, Inc.",6-Mar-15,PO516523,13000,7
DEPARTMENT OF PUBLIC WORKS,"9980900:Automobile, Truck and Bus Parts and Equipment","E & M AUTO REPAIR, INC.",1-Oct-14,PO505847,50000,8
DEPARTMENT OF PUBLIC WORKS,"8000800:Boots, Leather",SAF GARD SAFETY SHOE CO INC,16-Oct-14,PO507394,15000,9
DEPARTMENT OF PUBLIC WORKS,"9242500:For Credit Classes, Seminars, Workshops, etc.",VILLANOVA UNIVERSITY,15-Jan-15,PO509370-V2,5470,10
DEPARTMENT OF PUBLIC WORKS,"2045446:MICROCOMPUTERS, LAPTOP",Dell Computer Corp.,16-Jan-15,PO514286,4301.22,11
DEPARTMENT OF PUBLIC WORKS,"6807745:PARTS AND ACCESSORIES, SPEED MEASURING DEVICES, RADAR, KUSTOM SIGNALS OR EQUAL",TONYS AUTO SERV./COMM SERV. OP,16-Oct-14,PO507393,100000,12
HOMELAND SECURITY/EMERGENCY MANAGEMENT,"7854554:PAPER, DRAWING, SCHOOLROOM",American Business Supplies LLC,31-Dec-14,PO513624,139.8,13
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,ALFORD PSYCHOLOGICAL CONSULTIN,21-Jan-15,PO514397,900,14
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"OLENDER REPORTING, INC.",10-Feb-15,PO512489-V2,175,15
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,PRODUCT & HIGHWAY SAFETY INSTI,13-Feb-15,PO511826-V2,500,16
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,19-Nov-14,PO510841,81,17
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9625800:Professional Services (Not Otherwise Classified),DOLCE INTERL-BOLGER CENTER,6-Nov-14,PO507646-V3,0,18
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046447:HUBS, SWITCHES, AND CONVERTERS, COMPUTER","Networking For Future, Inc.",24-Dec-14,PO513399,129920,19
DEPT. OF HOUSING AND COMM. DEVELOPMENT,"2083720:SOFTWARE, MICROCOMPUTER, DATABASE, APPLE COMPATIBLE, LATEST RELEASE OR VERSION LISTED",Dell Computer Corp.,23-Feb-15,PO515921,0,20
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"HI-TECH SOLUTION, INC.",18-Dec-14,PO513074,15570,21
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",MFRI,15-Jan-15,PO514125,2414.43,22
D.C. NATIONAL GUARD,"9621600:Bus Transportation Services, School",DIVERSIFIED TRANSPORTATION SRV,20-Feb-15,PO513488-V2,10600,23
