Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010],2014 [YR2014]
Internet users (per 100 people),IT.NET.USER.P2,Afghanistan,AFG,..,0,..,4,6.39
Internet users (per 100 people),IT.NET.USER.P2,Albania,ALB,..,0,0.114097346552109,45,60.1
Internet users (per 100 people),IT.NET.USER.P2,Algeria,DZA,..,0,0.491705679141589,12.5,18.09
Internet users (per 100 people),IT.NET.USER.P2,American Samoa,ASM,..,0,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Andorra,ADO,..,0,10.53883560922,81,95.9
Internet users (per 100 people),IT.NET.USER.P2,Angola,AGO,..,0,0.105045562462262,10,21.26
Internet users (per 100 people),IT.NET.USER.P2,Antigua and Barbuda,ATG,..,0,6.48222573702907,47,64
Internet users (per 100 people),IT.NET.USER.P2,Argentina,ARG,..,0,7.0386830862178,45,64.7
Internet users (per 100 people),IT.NET.USER.P2,Armenia,ARM,..,0,1.30047002237784,25,46.3
Internet users (per 100 people),IT.NET.USER.P2,Aruba,ABW,..,0,15.4428229480349,62,83.78
Internet users (per 100 people),IT.NET.USER.P2,Australia,AUS,..,0.585094712206538,46.7561156116738,76,84.56
Internet users (per 100 people),IT.NET.USER.P2,Austria,AUT,..,0.130369376859149,33.7301329516915,75.17,81
Internet users (per 100 people),IT.NET.USER.P2,Azerbaijan,AZE,..,0,0.147757575623251,46,61
Internet users (per 100 people),IT.NET.USER.P2,"Bahamas, The",BHS,..,0,8,43,76.92
Internet users (per 100 people),IT.NET.USER.P2,Bahrain,BHR,..,0,6.15373254647607,55,90.99998
Internet users (per 100 people),IT.NET.USER.P2,Bangladesh,BGD,..,0,0.0710394230507683,3.7,9.6
Internet users (per 100 people),IT.NET.USER.P2,Barbados,BRB,..,0,3.97367835457927,65.1,76.67
Internet users (per 100 people),IT.NET.USER.P2,Belarus,BLR,..,0,1.86039812615388,31.8,59.02
Internet users (per 100 people),IT.NET.USER.P2,Belgium,BEL,..,0.00100673961837521,29.4316916924341,75,85
Internet users (per 100 people),IT.NET.USER.P2,Belize,BLZ,..,0,5.96383530272428,28.2,38.7
Internet users (per 100 people),IT.NET.USER.P2,Benin,BEN,..,0,0.225247851473369,3.13,5.3
Internet users (per 100 people),IT.NET.USER.P2,Bermuda,BMU,..,0,42.9498600152711,84.21,96.8
Internet users (per 100 people),IT.NET.USER.P2,Bhutan,BTN,..,0,0.40094444691941,13.6,34.37
Internet users (per 100 people),IT.NET.USER.P2,Bolivia,BOL,..,0,1.4427635847914,22.4,39.02
Internet users (per 100 people),IT.NET.USER.P2,Bosnia and Herzegovina,BIH,..,0,1.08296074971207,42.75,60.8
Internet users (per 100 people),IT.NET.USER.P2,Botswana,BWA,0,0,2.90266662177209,6,18.5
Internet users (per 100 people),IT.NET.USER.P2,Brazil,BRA,..,0,2.87068515854108,40.65,57.6
Internet users (per 100 people),IT.NET.USER.P2,Brunei Darussalam,BRN,..,0,8.99628453448726,53,68.77
Internet users (per 100 people),IT.NET.USER.P2,Bulgaria,BGR,..,0,5.37092346908696,46.23,55.49
Internet users (per 100 people),IT.NET.USER.P2,Burkina Faso,BFA,..,0,0.0770801689426014,2.4,9.4
Internet users (per 100 people),IT.NET.USER.P2,Burundi,BDI,0,0,0.077248447383456,1,1.38
Internet users (per 100 people),IT.NET.USER.P2,Cabo Verde,CPV,..,0,1.82244385164396,30,40.26
Internet users (per 100 people),IT.NET.USER.P2,Cambodia,KHM,..,0,0.047022640068885,1.26,9
Internet users (per 100 people),IT.NET.USER.P2,Cameroon,CMR,..,0,0.252120077733662,4.3,11
Internet users (per 100 people),IT.NET.USER.P2,Canada,CAN,..,0.360999700586848,51.3,80.3,87.12
Internet users (per 100 people),IT.NET.USER.P2,Cayman Islands,CYM,..,0,..,66,74.1
Internet users (per 100 people),IT.NET.USER.P2,Central African Republic,CAF,..,0,0.0533941742150456,2,4.03
Internet users (per 100 people),IT.NET.USER.P2,Chad,TCD,..,0,0.03570707628555,1.7,2.5
Internet users (per 100 people),IT.NET.USER.P2,Channel Islands,CHI,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Chile,CHL,..,0,16.6,45,72.35
Internet users (per 100 people),IT.NET.USER.P2,China,CHN,..,0,1.77591320677415,34.3,49.3
Internet users (per 100 people),IT.NET.USER.P2,Colombia,COL,..,0,2.207532992624,36.5,52.57
Internet users (per 100 people),IT.NET.USER.P2,Comoros,COM,..,0,0.271740607285909,5.1,6.98
Internet users (per 100 people),IT.NET.USER.P2,"Congo, Dem. Rep.",ZAR,..,0,0.0059021136806903,0.72,3
Internet users (per 100 people),IT.NET.USER.P2,"Congo, Rep.",COG,..,0,0.0263547320580279,5,7.11
Internet users (per 100 people),IT.NET.USER.P2,Costa Rica,CRI,..,0,5.80025302331829,36.5,49.41
Internet users (per 100 people),IT.NET.USER.P2,Cote d'Ivoire,CIV,..,0,0.231461670612799,2.7,14.6
Internet users (per 100 people),IT.NET.USER.P2,Croatia,HRV,..,0,6.64488254374396,56.55,68.57
Internet users (per 100 people),IT.NET.USER.P2,Cuba,CUB,..,0,0.541182548811058,15.9,30
Internet users (per 100 people),IT.NET.USER.P2,Curacao,CUW,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Cyprus,CYP,..,0,15.2553943710137,52.99,69.33
Internet users (per 100 people),IT.NET.USER.P2,Czech Republic,CZE,..,0,9.78052788834393,68.82,79.71
Internet users (per 100 people),IT.NET.USER.P2,Denmark,DNK,..,0.0972772676449777,39.1724308555053,88.72,95.99
Internet users (per 100 people),IT.NET.USER.P2,Djibouti,DJI,..,0,0.194500528399956,6.5,10.71
Internet users (per 100 people),IT.NET.USER.P2,Dominica,DMA,..,0,8.81484419762881,47.45,62.86
Internet users (per 100 people),IT.NET.USER.P2,Dominican Republic,DOM,..,0,3.70469235587688,31.4,49.58
Internet users (per 100 people),IT.NET.USER.P2,Ecuador,ECU,..,0,1.46218853556457,29.03,43
Internet users (per 100 people),IT.NET.USER.P2,"Egypt, Arab Rep.",EGY,..,0,0.641265037504813,21.6,31.7
Internet users (per 100 people),IT.NET.USER.P2,El Salvador,SLV,..,0,1.17739726914477,15.9,29.7
Internet users (per 100 people),IT.NET.USER.P2,Equatorial Guinea,GNQ,..,0,0.132354665123789,6,18.86
Internet users (per 100 people),IT.NET.USER.P2,Eritrea,ERI,..,0,0.136711941104496,0.61,0.99
Internet users (per 100 people),IT.NET.USER.P2,Estonia,EST,..,0,28.5769538105646,74.1,84.24
Internet users (per 100 people),IT.NET.USER.P2,Ethiopia,ETH,..,0,0.0152637672082567,0.75,2.9
Internet users (per 100 people),IT.NET.USER.P2,Faeroe Islands,FRO,..,0,32.916392363397,75.2,94.66
Internet users (per 100 people),IT.NET.USER.P2,Fiji,FJI,..,0,1.4968547339902,20,41.8
Internet users (per 100 people),IT.NET.USER.P2,Finland,FIN,..,0.401087669542265,37.2484617371121,86.89,92.38
Internet users (per 100 people),IT.NET.USER.P2,France,FRA,..,0.0527778615870672,14.3079239430677,77.28,83.75
Internet users (per 100 people),IT.NET.USER.P2,French Polynesia,PYF,..,0,6.3570635452072,49,60.68
Internet users (per 100 people),IT.NET.USER.P2,Gabon,GAB,..,0,1.21614061828589,7.23,9.81
Internet users (per 100 people),IT.NET.USER.P2,"Gambia, The",GMB,..,0,0.921794919066406,9.2,15.56
Internet users (per 100 people),IT.NET.USER.P2,Georgia,GEO,..,0,0.484746298540492,26.9,48.9
Internet users (per 100 people),IT.NET.USER.P2,Germany,DEU,..,0.125892223365436,30.2163466048889,82,86.19
Internet users (per 100 people),IT.NET.USER.P2,Ghana,GHA,..,0,0.153615297625799,7.8,18.9
Internet users (per 100 people),IT.NET.USER.P2,Greece,GRC,..,0,9.13883730776798,44.4,63.21
Internet users (per 100 people),IT.NET.USER.P2,Greenland,GRL,..,0,31.7478112321162,63,66.7
Internet users (per 100 people),IT.NET.USER.P2,Grenada,GRD,0,0,4.06390799146313,27,37.38
